companyid;companyname;ticker;price;p_l;dy;p_vp;p_ebit;p_ativo;ev_ebit;margembruta;margemebit;margemliquida;p_sr;p_capitalgiro;p_ativocirculante;giroativos;roe;roa;roic;dividaliquidapatrimonioliquido;dividaliquidaebit;pl_ativo;passivo_ativo;liquidezcorrente;peg_ratio;receitas_cagr5;lucros_cagr5;liquidezmediadiaria;vpa;lpa;valormercado;segmentid;sectorid;subsectorid;subsectorname;segmentname;sectorname
496;NEOENERGIA S.A.;NEOE3;20,9;4,89;4,32;0,86;2,65;0,26;6,6;26,13;21,96;11,89;0,58;20,84;-0,34;0,45;17,61;5,33;12,45;1,29;3,96;0,3;0,7;1,06;0,21;15,85;66,47;21828567,35;24,28;4,28;25380500455,68;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública
316;NEXPE PARTICIPAÇÕES S.A;NEXP3;5,02;-0,1;;-0,09;-0,17;0,1;-0,79;86,77;-85,18;-147,0;0,14;-0,25;-0,16;0,73;-96,62;-107,69;97,23;;-0,63;-1,11;2,11;0,47;0,0;6,18;;11847,33;-53,94;-52,12;13330956,38;52;4,0;22,0;Exploração de Imóveis;Intermediação Imobiliária;Financeiro e Outros
659;NEOGRID PARTICIPACOES S.A.;NGRD3;1,24;31,94;1,19;0,65;-20,45;0,44;-8,87;63,47;-5,34;3,42;1,09;1,78;-0,77;0,4;2,03;1,38;-4,51;-0,37;11,58;0,68;0,32;2,37;0,07;10,18;3,51;505171,65;1,91;0,04;295941289,2;82;8,0;41,0;Programas e Serviços;Programas e Serviços;Tecnologia da Informação
773;GETNINJAS S.A.;NINJ3;4,93;83,81;;0,88;-9,22;0,82;0,96;91,84;-44,7;4,92;4,12;0,93;-13,7;0,2;1,05;0,98;-10,12;-0,97;10,18;0,94;0,06;16,07;-0,74;;;500784,13;5,61;0,06;250429293,81;82;8,0;41,0;Programas e Serviços;Programas e Serviços;Tecnologia da Informação
186;NORDON INDUSTRIAS METALURGICAS S.A.;NORD3;16,18;-14,12;;-0,68;22,22;5,7;28,89;91,45;211,48;-332,85;46,99;-0,66;-6,22;0,12;-4,8;-40,38;-4,03;;7,95;-8,41;9,41;0,01;2,16;23,27;;187331,12;-23,62;-1,13;99918223,74;8;1,0;3,0;Máquinas e Equipamentos;Máq. e Equip. Industriais;Bens Industriais
566;NORTEC QUÍMICA S.A.;NRTQ3;0,0;0,0;;0,0;0,0;0,0;0,32;27,82;17,1;18,21;0,0;0,0;0,0;0,68;17,37;12,36;12,35;0,05;0,32;0,71;0,29;4,82;0,0;9,53;24,53;;19,95;3,46;0,0;79;7,0;38,0;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos;Saúde
301;NATURA &CO HOLDING S.A.;NTCO3;16,87;4,93;;0,83;-76,52;0,46;-74,5;64,98;-0,93;14,39;0,71;2,98;-0,71;0,65;16,95;9,39;-3,13;-0,02;1,84;0,55;0,45;1,82;-0,01;29,83;47,94;143614516,87;20,21;3,43;23340652950,78;50;3,0;21,0;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal;Consumo não Cíclico
586;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;NUTR3;6,14;21,26;;2,47;7,71;0,77;8,28;16,12;6,42;2,33;0,5;2,32;-2,48;1,56;11,63;3,63;21,12;0,18;0,57;0,31;0,69;1,94;-0,38;36,34;;88078,84;2,48;0,29;81320616,0;69;5,0;33,0;Químicos;Fertilizantes e Defensivos;Materiais Básicos
288;CONSERVAS ODERICH S.A.;ODER4;98,91;7,44;0,63;2,24;5,93;1,27;6,57;30,41;18,23;14,52;1,08;2,58;-4,42;1,17;30,11;17,04;24,81;0,24;0,65;0,57;0,43;3,21;0,1;18,87;54,31;9450,5;44,13;13,29;1116407654,46;44;3,0;17,0;Alimentos Processados;Alimentos Diversos;Consumo não Cíclico
429;ODONTOPREV S.A.;ODPV3;11,92;13,39;2,14;4,49;10,8;3,17;10,2;40,91;28,94;23,34;3,13;-163,28;-4,05;1,01;33,5;23,65;27,76;-0,24;-0,57;0,71;0,29;0,92;0,47;5,77;-0,45;16150549,42;2,66;0,89;6569173433,07;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde
418;OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.;OFSA3;23,6;-54,51;0,83;1,9;11,7;1,0;12,48;48,31;11,04;-2,37;1,29;2,63;-2,75;0,78;-3,49;-1,84;0,96;0,13;0,79;0,53;0,47;2,51;0,46;15,56;;350895,97;12,41;-0,43;1273196541,6;77;7,0;36,0;Comércio e Distribuição;Medicamentos e Outros Produtos;Saúde
405;ÓLEO E GÁS PARTICIPAÇÕES S.A.;OGXP3;1,63;-2,15;;-0,98;-9,26;0,92;-9,26;;;;;-0,98;;0,0;-45,53;-43,02;10,57;;0,0;-0,94;1,94;0,51;0,02;;;;-1,67;-0,76;52747073,84;76;6,0;35,0;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis
436;OI S.A.;OIBR3;0,61;-0,02;;-0,02;-0,02;0,01;-1,33;-3,74;-173,59;-224,73;0,04;-0,1;-0,02;0,34;-84,29;-76,06;1223,14;;-1,3;-0,9;1,9;0,72;0,0;-15,11;;2665621,19;-40,62;-34,24;424372409,7;83;9,0;42,0;Telecomunicações;Telecomunicações;Comunicações
436;OI S.A.;OIBR4;1,56;-0,05;;-0,04;-0,06;0,03;-1,33;-3,74;-173,59;-224,73;0,1;-0,26;-0,05;0,34;-84,29;-76,06;1223,14;;-1,3;-0,9;1,9;0,72;0,0;-15,11;;45240,0;-40,62;-34,24;424372409,7;83;9,0;42,0;Telecomunicações;Telecomunicações;Comunicações
476;OMEGA GERAÇÃO S.A.;OMGE3;27,57;60,97;;1294,14;14,84;443,36;14,86;28,35;29,22;7,11;4,34;17603,37;-525,74;102,22;2122,56;727,18;3736,63;1,1;0,01;0,34;0,66;1,19;-0,75;34,84;-2,04;;0,02;0,45;5521562588,85;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública
800;ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.;ONCO3;12,06;29,01;;2,87;8,25;0,74;12,16;35,93;14,63;4,16;1,21;7,3;-1,07;0,61;9,9;2,55;11,13;1,36;3,91;0,26;0,69;1,48;-0,01;;;24805256,94;4,2;0,42;6361428071,88;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde
682;OCEANPACT SERVICOS MARITIMOS S.A.;OPCT3;5,64;13,8;;1,42;4,33;0,47;8,1;22,65;16,79;5,27;0,73;5,41;-0,66;0,64;10,27;3,37;11,91;1,23;3,77;0,33;0,67;1,41;-0,08;47,73;62,06;4016413,61;3,97;0,41;1125772289,02;17;1,0;6,0;Transporte;Transporte Hidroviário;Bens Industriais
740;ORIZON VALORIZACAO DE RESIDUOS S.A.;ORVR3;35,35;-23,54;;4,75;22,08;1,31;29,18;30,63;17,55;-16,46;3,87;8,81;-1,8;0,34;-20,17;-5,56;5,58;1,53;7,11;0,28;0,7;2,22;-0,45;22,01;;16608226,19;7,44;-1,5;2932313926,15;84;10,0;43,0;Água e Saneamento;Água e Saneamento;Utilidade Pública
402;OSX BRASIL S.A.;OSXB3;4,54;-0,04;;0,0;0,02;0,01;10,15;90,64;1360,32;-767,58;0,33;-0,02;-0,01;0,02;-5,25;-12,01;-115,0;;10,13;-2,29;3,29;0,02;0,0;26,98;;20519,9;-1978,77;-103,9;13851367,2;75;6,0;35,0;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços;Petróleo. Gás e Biocombustíveis
427;INSTITUTO HERMES PARDINI S.A.;PARD3;20,25;36,76;10,64;5,3;19,27;2,1;19,93;26,45;13,31;6,98;2,57;-54,06;-3,28;0,82;14,42;5,7;14,8;0,18;0,66;0,4;0,6;0,9;-1,04;13,44;2,56;7882065,83;3,82;0,55;5403493010,25;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde
394;PANATLANTICA S.A.;PATI3;29,4;134,74;1,64;0,83;16,39;0,41;14,09;8,88;2,27;0,28;0,37;0,84;-1,76;1,11;0,62;0,31;1,75;-0,12;-2,39;0,5;0,5;2,78;-1,45;23,42;-21,3;10264,09;35,34;0,22;707302678,2;73;5,0;34,0;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;Materiais Básicos
394;PANATLANTICA S.A.;PATI4;33,0;151,24;6,39;0,93;18,4;0,46;14,09;8,88;2,27;0,28;0,42;0,94;-1,98;1,11;0,62;0,31;1,75;-0,12;-2,39;0,5;0,5;2,78;-1,63;23,42;-21,3;7301,0;35,34;0,22;707302678,2;73;5,0;34,0;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;Materiais Básicos
299;CIA BRASILEIRA DE DISTRIBUICAO;PCAR3;4,45;-0,41;;0,24;-2,33;0,05;-6,78;-79,59;-212,24;-1200,41;4,95;0,64;-0,08;0,01;-58,63;-12,96;-11,07;0,46;-4,44;0,22;0,78;1,32;0,0;-17,25;;52285448,71;18,57;-10,89;1212924419,81;47;3,0;19,0;Comércio e Distribuição;Alimentos;Consumo não Cíclico
299;CIA BRASILEIRA DE DISTRIBUICAO;PCAR4;72,11;-6,62;;3,88;-37,46;0,86;-6,78;-79,59;-212,24;-1200,41;79,51;10,23;-1,32;0,01;-58,63;-12,96;-11,07;0,46;-4,44;0,22;0,78;1,32;0,03;-17,25;;;18,57;-10,89;1212924419,81;47;3,0;19,0;Comércio e Distribuição;Alimentos;Consumo não Cíclico
239;PDG REALTY S.A. EMPREEND E PARTICIPACOES;PDGR3;0,41;-0,03;;-0,01;-1,08;0,03;-47,37;60,91;-21,85;-681,34;0,24;-0,01;-0,13;0,13;-17,17;-87,98;2,46;;-46,29;-5,12;6,19;0,22;0,0;-23,6;;5724560,42;-69,17;-11,88;31892453,11;23;2,0;9,0;Construção Civil;Incorporações;Consumo Cíclico
370;PADTEC HOLDING S.A.;PDTC3;3,0;10,69;;1,59;6,24;0,45;7,89;35,71;10,17;5,93;0,63;1,22;-1,48;0,71;14,89;4,19;13,54;0,42;1,65;0,28;0,72;2,1;0,01;276,1;3,91;245210,68;1,93;0,29;243981165,12;62;4,0;28,0;Serviços Financeiros Diversos;Serviços Financeiros Diversos;Financeiro e Outros
